iter	Passed	Remaining
0	0	586
1	1	554
2	1	523
3	2	508
4	2	505
5	3	506
6	3	501
7	4	498
8	4	499
9	5	496
10	5	494
11	5	492
12	6	491
13	6	488
14	7	489
15	7	488
16	8	496
17	9	501
18	9	498
19	10	496
20	10	503
21	11	504
22	11	505
23	12	502
24	12	500
25	13	498
26	13	495
27	14	495
28	14	496
29	15	496
30	15	494
31	16	494
32	16	495
33	17	495
34	17	494
35	18	492
36	18	490
37	19	489
38	19	487
39	20	486
40	20	487
41	21	487
42	21	486
43	22	487
44	22	485
45	23	487
46	24	494
47	24	494
48	25	496
49	26	495
50	26	493
51	27	492
52	27	491
53	27	490
54	28	489
55	29	491
56	29	489
57	30	489
58	30	489
59	31	488
60	31	488
61	32	487
62	32	486
63	33	485
64	33	484
65	34	483
66	34	482
67	35	481
68	35	480
69	36	478
70	36	477
71	36	476
72	37	475
73	37	474
74	38	474
75	38	473
76	39	473
77	40	472
78	40	472
79	41	471
80	41	471
81	42	471
82	42	467
83	42	468
84	43	468
85	43	467
86	44	466
87	44	465
88	45	464
89	45	463
90	46	463
91	46	462
92	47	461
93	47	460
94	48	459
95	48	458
96	49	457
97	49	456
98	50	455
99	50	455
100	51	454
101	51	453
102	51	452
103	52	452
104	52	451
105	53	451
106	54	451
107	54	451
108	55	450
109	55	450
110	56	450
111	56	449
112	57	449
113	57	448
114	58	447
115	58	447
116	59	445
117	59	445
118	60	444
119	60	444
120	61	443
121	61	442
122	61	441
123	62	440
124	62	440
125	63	439
126	63	438
127	64	437
128	64	436
129	65	435
130	65	435
131	66	434
132	66	433
133	66	432
134	67	432
135	67	431
136	68	430
137	68	430
138	69	430
139	70	430
140	70	430
141	70	428
142	71	427
143	71	427
144	72	427
145	73	427
146	73	427
147	74	426
148	74	426
149	75	425
150	75	425
151	76	424
152	76	424
153	77	423
154	77	422
155	78	422
156	78	421
157	78	420
158	79	420
159	79	419
160	80	418
161	80	417
162	81	417
163	81	416
164	82	415
165	82	415
166	83	414
167	83	414
168	84	414
169	84	414
170	85	413
171	85	413
172	86	412
173	86	411
174	87	410
175	87	410
176	88	409
177	88	408
178	88	408
179	89	407
180	89	406
181	90	405
182	90	404
183	91	404
184	91	403
185	92	402
186	92	401
187	92	401
188	93	400
189	93	399
190	94	399
191	94	398
192	95	397
193	95	396
194	95	396
195	96	395
196	96	394
197	97	394
198	97	393
199	98	392
200	98	392
201	99	392
202	99	391
203	100	391
204	100	390
205	101	390
206	101	389
207	102	388
208	102	388
209	102	387
210	103	386
211	103	386
212	104	385
213	104	384
214	105	384
215	105	383
216	106	382
217	106	382
218	106	381
219	107	380
220	107	380
221	108	379
222	108	378
223	109	378
224	109	377
225	110	376
226	110	376
227	110	375
228	111	374
229	111	374
230	112	373
231	112	372
232	113	372
233	113	371
234	114	371
235	114	371
236	115	370
237	115	370
238	116	369
239	116	369
240	116	368
241	117	367
242	117	367
243	118	366
244	118	365
245	119	365
246	119	364
247	120	363
248	120	363
249	120	362
250	121	362
251	121	361
252	122	360
253	122	360
254	123	359
255	123	358
256	123	358
257	124	357
258	124	357
259	125	356
260	125	355
261	126	355
262	126	354
